seed,scenario,duration,mean_ttc,min_ttc,mean_pet,min_pet,near_miss_count,conflict_count,collision_count,average_travel_time,average_waiting_time,completed_trips,agent_metrics
7,normal,5.0,3.63046511627907,1.08,0.0,0.0,1,44,0,5.0,0.41125,0,"{""car"": {""count"": 30, ""average_speed"": 2.2460446271171803, ""average_waiting_time"": 0.28666666666666646, ""near_miss_count"": 1, ""conflict_count"": 33, ""hard_brake_count"": 5}, ""person"": {""count"": 100, ""average_speed"": 0.9900318500055143, ""average_waiting_time"": 0.528, ""near_miss_count"": 1, ""conflict_count"": 40, ""hard_brake_count"": 0}, ""scooter"": {""count"": 30, ""average_speed"": 1.5496322238158022, ""average_waiting_time"": 0.14666666666666658, ""near_miss_count"": 0, ""conflict_count"": 15, ""hard_brake_count"": 0}}"
8,normal,5.0,6.1258333333333335,0.83,,,2,49,0,5.0,0.4124999999999999,0,"{""car"": {""count"": 30, ""average_speed"": 2.2225399653447533, ""average_waiting_time"": 0.2066666666666665, ""near_miss_count"": 3, ""conflict_count"": 26, ""hard_brake_count"": 1}, ""person"": {""count"": 100, ""average_speed"": 0.9462065295841064, ""average_waiting_time"": 0.584, ""near_miss_count"": 1, ""conflict_count"": 35, ""hard_brake_count"": 0}, ""scooter"": {""count"": 30, ""average_speed"": 1.8478471242222703, ""average_waiting_time"": 0.04666666666666661, ""near_miss_count"": 0, ""conflict_count"": 37, ""hard_brake_count"": 1}}"
